"ANIO","MES","CONGLOMERADO","MUESTRA","SELVIV","HOGAR","REGION","LLAVE_PANEL","ESTRATO","C201","C203","C204","C205","C206","C207","C208","C300n","NROINF","C301_DIA","C301_MES","C301_ANIO","C303","C304","C305","C306_1","C306_2","C306_3","C306_4","C306_5","C306_6","C306_7","C306_8","C306_9","C306_10","C306_10A","C306_11","C306A","C308_COD","C309_COD","C310","C311","C312","C313","C317","C317A","C318_1","C318_2","C318_3","C318_4","C318_5","C318_6","C318_7","C318_T","C328_T","whoraT","C330","C331","C333","C334","P209H","C335","C338","C339_1","C341_T","C342","C344","C345_1","C347_T","C348","C350","C352","C353","C354","C355","C356","C357_I","C358","C359","SEGURO1","C361_1","C362_1","C361_2","C362_2","C361_3","C362_3","C361_4","C362_4","C361_5","C362_5","C361_6","C362_6","C361_7","C362_7","C361_8","C362_8","C364_1","C365_1","C364_2","C365_2","C364_3","C365_3","C364_4","C365_4","C366","C366_1","C366_2","C375_1","C375_2","C375_3","C375_4","C375_5","C375_6","C376","C377","OCUP300","I339_1","D341_T","I342","D344","I345_1","I348","D347_T","D350","D351_T","INGTOT","INGTOTP","ingtrabw","RESIDENT","fa_def25"
2025,"02","18476",2,"0066",1,1,"202502184762006612",1,2,2,1,2,,2,65,2,2,28,3,1959,1,,,,,,,,,,,,,,,,5213,4781,4,,2,2,1,2,8,8,8,8,8,8,8,56,,56,1,,2,,2,,,,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,1,,2,2,2,2,2,2,10,7,1,,,,,,,,,,,,,1,437.09585131997125
2025,"02","24569",1,"0034",1,1,"202502245691003411",1,1,1,1,2,,1,36,1,1,10,8,1988,1,,,,,,,,,,,,,,,,9313,4100,3,5,1,,1,15,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,4,2800,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,2800,,,,,,,,,2800,2800,2800,1,1014.6488163384979
2025,"02","24569",1,"0034",1,1,"202502245691003412",1,2,2,1,2,,2,40,2,2,4,2,1985,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,951.0717476797657
2025,"02","24569",1,"0035",1,1,"202502245691003511",1,1,1,1,2,,1,73,1,1,9,9,1951,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,4,2,,2,,2,,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,11,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,842.2878956537087
2025,"02","24569",1,"0035",1,1,"202502245691003512",1,2,2,1,2,,2,66,2,2,13,8,1958,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,3,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,777.5945314714912
2025,"02","49624",1,"0009",1,1,"202502496241000911",1,1,1,1,2,,1,60,1,1,16,8,1964,1,,,,,,,,,,,,,,,,9313,4100,3,5,3,2,1,4,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,2,380,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1645,,,,,,,,,1645,1645,1645,1,1009.1772499541299
2025,"02","49624",1,"0009",1,1,"202502496241000912",1,2,2,1,2,,2,37,2,2,11,8,1987,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,,6,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,1139.5153317353838
2025,"02","49624",1,"0009",1,1,"202502496241000913",1,3,3,1,2,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,"02","49624",1,"0009",1,1,"202502496241000914",1,4,3,1,2,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,"02","49624",1,"0014",1,1,"202502496241001411",1,1,1,1,2,,2,51,1,1,22,8,1973,1,,,,,,,,,,,,,,,,9411,5630,2,,3,2,1,1,0,0,6,6,6,6,6,30,,30,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,,4,2,2,2,2,2,2,10,9,1,,,350,,,,,,,350,350,350,1,931.6656631290324
2025,"02","26398",1,"0087",1,1,"202502263981008711",1,1,1,1,2,,2,56,1,1,2,2,1969,1,,,,,,,,,,,,,,,,2341,8510,3,5,1,,2,30,0,4,4,4,4,4,0,20,,20,1,,2,,2,2,4,2000,,,,,,,,,,,,,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,2,,9,5,,2,2,2,2,2,2,10,7,1,2000,,,,,,,,,2000,2000,2000,1,637.4055139221527
2025,"02","26398",1,"0087",1,1,"202502263981008712",1,2,3,1,2,,1,29,2,2,27,12,1995,1,,,,,,,,,,,,,,,,3163,5110,3,5,1,,5,9998,12,0,12,0,12,12,0,48,,48,1,,1,1,1,2,4,7000,400,,,,,,,,,,,,,,1,3,1,1,2,,1,1,2,,2,,2,,2,,2,,2,,1,1,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,7000,400,,,,,,,1749,7400,7400,9149,1,831.7223489276244
2025,"02","26398",1,"0088",1,1,"202502263981008811",1,1,1,1,2,,1,72,1,1,6,10,1952,1,,,,,,,,,,,,,,,,2421,7020,2,,1,,1,1,0,6,6,6,6,4,0,28,,28,1,,1,1,1,2,,,,2500,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,2500,,,,,,,2500,2500,2500,1,690.4356027087675
