condicion_ocupacion,sexo,edad,nivel_educativo_cod,Lengua,Etnia,Concentracion,Socializar,Experiencia,Movilidad
OCUPADO,1,25,8,10,5,2,2,1,2
DESOCUPADO,1,19,8,10,7,2,2,1,2
DESOCUPADO,1,16,5,10,5,2,2,2,2
OCUPADO,1,61,6,10,7,2,2,1,2
DESOCUPADO,2,60,11,10,7,2,2,1,2
OCUPADO,1,33,11,10,7,2,2,1,2
DESOCUPADO,2,83,1,1,1,2,2,1,1
OCUPADO,2,53,9,10,7,2,2,1,2
OCUPADO,1,58,9,10,7,2,2,1,2
DESOCUPADO,2,25,10,10,7,2,2,1,2
DESOCUPADO,1,21,6,10,7,2,2,1,2
OCUPADO,1,49,6,10,7,2,2,1,2
OCUPADO,1,41,9,10,7,2,2,1,2
OCUPADO,1,74,3,1,7,2,2,1,2
DESOCUPADO,2,67,5,1,7,2,2,1,2
OCUPADO,1,30,11,10,7,2,2,1,2
OCUPADO,2,30,10,10,7,2,2,1,2
OCUPADO,1,57,6,10,7,2,2,1,2
OCUPADO,2,37,6,6,7,2,2,1,2
DESOCUPADO,2,17,5,10,7,2,2,2,2
DESOCUPADO,2,13,5,10,7,2,2,2,2
DESOCUPADO,1,61,6,10,7,2,2,1,2
DESOCUPADO,2,56,8,10,7,2,2,1,2
OCUPADO,2,35,6,10,7,2,2,1,2
DESOCUPADO,2,50,6,10,7,2,2,1,2
OCUPADO,1,57,5,10,7,2,2,1,2
DESOCUPADO,1,21,10,10,7,2,2,1,2
DESOCUPADO,2,13,5,10,7,2,2,2,2
OCUPADO,2,56,6,10,7,2,2,1,2
OCUPADO,2,54,6,10,7,2,2,1,1
DESOCUPADO,2,78,6,10,7,2,2,2,2
DESOCUPADO,2,23,10,10,7,2,2,1,2
OCUPADO,1,61,9,10,7,2,2,1,2
DESOCUPADO,2,53,6,10,7,2,2,1,2
OCUPADO,1,32,9,10,7,2,2,1,2
DESOCUPADO,1,79,6,10,7,2,2,1,2
OCUPADO,2,44,6,1,1,2,2,1,2
OCUPADO,2,43,5,10,7,2,2,1,2
DESOCUPADO,2,21,6,10,7,2,2,1,2
OCUPADO,2,21,9,10,7,2,2,1,2
DESOCUPADO,2,34,6,10,7,2,2,1,2
DESOCUPADO,2,15,5,10,7,2,2,2,2
OCUPADO,1,67,9,10,7,2,2,1,2
DESOCUPADO,2,55,8,10,7,2,2,1,2
OCUPADO,1,29,11,10,7,2,2,1,2
OCUPADO,1,35,12,10,7,2,2,1,2
OCUPADO,1,48,10,10,7,2,2,1,2
DESOCUPADO,2,40,5,10,6,2,2,1,2
DESOCUPADO,2,15,5,10,7,2,2,2,2
DESOCUPADO,1,61,6,10,7,2,2,1,2
OCUPADO,2,67,4,10,7,2,2,1,2
OCUPADO,2,26,6,10,7,2,2,1,2
DESOCUPADO,2,65,6,10,7,2,2,2,2
DESOCUPADO,1,27,11,10,7,2,2,1,2
DESOCUPADO,2,25,6,10,7,2,2,1,2
OCUPADO,2,52,11,10,7,2,2,2,2
DESOCUPADO,1,25,10,10,7,2,2,2,2
OCUPADO,2,44,6,10,7,2,2,1,2
OCUPADO,1,56,6,10,6,2,2,1,2
OCUPADO,1,26,6,10,7,2,2,1,2
OCUPADO,2,23,8,10,7,2,2,1,2
OCUPADO,2,16,5,10,7,2,2,1,2
OCUPADO,1,32,6,10,7,2,2,1,2
OCUPADO,2,23,6,10,6,2,2,1,2
OCUPADO,1,42,8,10,7,2,2,1,2
DESOCUPADO,2,34,6,10,7,2,2,1,2
OCUPADO,1,36,9,10,7,2,2,1,2
OCUPADO,2,35,12,10,7,2,2,1,2
OCUPADO,2,33,11,10,7,2,2,1,2
OCUPADO,1,36,11,10,7,2,2,1,2
DESOCUPADO,2,65,9,10,7,2,2,1,2
DESOCUPADO,1,76,11,10,7,2,2,1,2
OCUPADO,1,38,11,10,7,2,2,1,2
OCUPADO,2,34,11,10,7,2,2,1,2
OCUPADO,1,32,11,10,7,2,2,1,2
DESOCUPADO,2,29,11,10,7,2,2,1,2
OCUPADO,1,58,5,1,7,2,2,1,2
OCUPADO,2,49,5,1,7,2,2,1,2
DESOCUPADO,2,26,10,10,7,2,2,1,2
OCUPADO,1,30,6,10,7,2,2,1,2
DESOCUPADO,2,32,6,10,7,2,2,1,2
DESOCUPADO,1,15,5,10,9,2,2,1,2
OCUPADO,1,51,6,10,7,2,2,1,2
OCUPADO,2,50,3,10,7,2,2,1,2
DESOCUPADO,2,19,10,10,7,2,2,1,2
DESOCUPADO,2,34,6,10,7,2,2,1,2
OCUPADO,1,31,6,10,7,2,2,1,2
DESOCUPADO,2,62,3,10,7,2,2,1,2
OCUPADO,1,59,4,10,7,2,2,1,2
OCUPADO,2,58,6,1,1,2,2,1,2
OCUPADO,1,63,3,1,1,2,2,1,2
OCUPADO,2,36,6,10,7,2,2,1,2
OCUPADO,1,66,4,10,7,2,2,1,2
DESOCUPADO,2,62,3,10,7,2,2,1,2
OCUPADO,1,25,6,10,7,2,2,1,2
OCUPADO,2,30,6,10,7,2,2,1,2
OCUPADO,1,57,5,10,7,2,2,1,2
OCUPADO,1,54,6,10,7,2,2,1,2
OCUPADO,2,51,5,10,7,2,2,1,2
DESOCUPADO,1,22,6,10,7,2,2,1,2
DESOCUPADO,2,37,5,10,7,2,2,1,2
DESOCUPADO,2,17,6,10,7,2,2,1,2
DESOCUPADO,2,15,5,10,7,2,2,1,2
DESOCUPADO,1,14,5,10,7,2,2,1,2
OCUPADO,2,50,6,10,7,2,2,1,2
OCUPADO,1,24,6,10,7,2,2,1,2
OCUPADO,1,22,6,10,7,2,2,2,2
OCUPADO,2,23,8,10,7,2,2,1,2
OCUPADO,2,49,6,10,7,2,2,1,2
DESOCUPADO,1,17,6,10,7,2,2,1,2
OCUPADO,1,68,11,10,7,2,2,1,2
DESOCUPADO,2,56,11,10,7,2,2,1,2
OCUPADO,2,25,10,10,7,2,2,1,2
OCUPADO,1,44,6,10,7,2,2,1,2
OCUPADO,2,40,6,10,1,2,2,1,2
DESOCUPADO,2,16,5,10,7,2,2,1,2
OCUPADO,2,24,6,10,7,2,2,1,2
OCUPADO,2,32,9,10,7,2,2,1,2
OCUPADO,1,35,8,10,7,2,2,1,2
DESOCUPADO,1,63,6,1,7,2,2,1,2
DESOCUPADO,2,62,4,1,1,2,2,1,2
OCUPADO,1,59,6,10,7,2,2,1,2
DESOCUPADO,1,15,5,10,7,2,2,1,2
OCUPADO,1,58,6,10,7,2,2,1,2
DESOCUPADO,2,53,9,10,7,2,2,1,2
DESOCUPADO,2,14,5,10,7,2,2,1,2
DESOCUPADO,1,76,11,10,7,2,2,1,2
DESOCUPADO,2,72,11,10,7,2,2,1,2
OCUPADO,1,47,6,10,7,2,2,1,2
OCUPADO,2,48,6,10,7,2,2,1,2
DESOCUPADO,1,21,6,10,9,2,2,1,2
DESOCUPADO,1,16,5,10,9,2,2,2,2
DESOCUPADO,1,79,4,1,1,2,1,1,1
DESOCUPADO,2,44,6,10,7,2,2,1,2
OCUPADO,1,43,6,10,7,2,2,1,2
DESOCUPADO,1,15,5,10,7,2,2,2,2
OCUPADO,1,47,6,10,7,2,2,1,2
OCUPADO,2,44,6,10,7,2,2,1,2
DESOCUPADO,1,24,8,10,7,2,2,1,2
DESOCUPADO,2,21,6,10,7,2,2,1,2
DESOCUPADO,2,14,5,10,7,2,2,2,2
OCUPADO,2,33,6,10,7,2,2,1,2
DESOCUPADO,2,17,6,10,7,2,2,2,2
OCUPADO,1,30,6,1,1,2,2,1,2
DESOCUPADO,2,40,6,10,7,2,2,1,2
DESOCUPADO,1,65,10,10,7,2,2,1,2
DESOCUPADO,2,63,8,10,7,2,2,1,2
DESOCUPADO,1,24,6,10,7,2,2,1,2
OCUPADO,1,40,11,10,7,2,2,1,2
DESOCUPADO,2,74,6,10,7,2,2,1,2
DESOCUPADO,1,51,3,10,7,1,2,1,2
OCUPADO,2,24,8,10,7,2,2,1,2
OCUPADO,1,25,8,10,7,2,2,1,2
DESOCUPADO,1,66,6,10,7,2,2,1,2
DESOCUPADO,2,67,11,10,7,2,2,1,2
DESOCUPADO,2,66,6,10,7,2,2,1,2
OCUPADO,1,26,6,10,7,2,2,1,2
DESOCUPADO,2,22,6,10,7,2,2,1,2
OCUPADO,1,60,6,10,7,2,2,2,2
DESOCUPADO,2,60,6,10,7,2,2,1,2
OCUPADO,2,30,11,10,7,2,2,2,2
OCUPADO,1,57,6,10,7,2,2,1,2
DESOCUPADO,2,50,11,10,7,2,2,1,2
OCUPADO,1,22,10,10,7,2,2,1,2
DESOCUPADO,2,16,5,10,7,2,2,1,2
DESOCUPADO,2,57,6,10,7,2,2,2,2
OCUPADO,1,61,3,10,7,2,2,1,2
OCUPADO,2,44,9,10,7,2,2,1,2
DESOCUPADO,2,69,10,10,7,2,2,1,2
DESOCUPADO,2,36,6,10,1,2,2,1,2
OCUPADO,1,37,6,10,7,2,2,1,2
DESOCUPADO,1,16,5,10,7,2,2,1,2
OCUPADO,1,40,6,10,7,2,2,1,2
DESOCUPADO,2,15,5,10,7,2,2,2,2
OCUPADO,1,46,6,10,7,2,2,1,2
DESOCUPADO,2,38,6,10,7,2,2,1,2
DESOCUPADO,2,17,6,10,7,2,2,1,2
DESOCUPADO,1,56,11,10,7,2,2,1,2
OCUPADO,2,53,11,10,7,2,2,1,2
DESOCUPADO,1,19,10,10,7,2,2,1,2
OCUPADO,2,62,5,10,7,2,2,1,2
OCUPADO,1,61,6,10,7,2,2,1,2
OCUPADO,1,36,6,10,7,2,2,1,2
OCUPADO,2,33,10,10,7,2,2,1,2
OCUPADO,1,63,9,10,7,2,2,1,2
OCUPADO,2,49,6,10,7,2,2,1,2
DESOCUPADO,2,14,5,10,7,2,2,1,2
OCUPADO,2,24,10,10,7,2,2,1,2
DESOCUPADO,2,89,3,10,8,2,2,1,2
OCUPADO,1,63,10,10,7,2,2,1,2
OCUPADO,2,46,9,10,7,2,2,1,2
DESOCUPADO,2,19,10,10,7,2,2,2,2
DESOCUPADO,1,74,6,10,9,2,2,1,2
DESOCUPADO,2,70,6,10,7,2,2,1,2
DESOCUPADO,1,72,6,10,7,2,2,1,2
OCUPADO,2,61,9,10,9,2,2,1,2
OCUPADO,1,61,5,10,7,2,2,1,2
OCUPADO,1,27,10,10,7,2,2,1,2
OCUPADO,1,45,8,10,7,2,2,1,2
DESOCUPADO,2,39,11,10,7,2,2,1,2
OCUPADO,1,62,10,10,7,2,2,1,2
OCUPADO,1,36,6,10,7,2,2,1,2
DESOCUPADO,2,30,6,10,7,2,2,1,2
OCUPADO,1,30,6,10,7,2,2,1,2
OCUPADO,2,27,6,10,7,2,2,1,2
DESOCUPADO,1,85,1,10,7,2,2,1,2
DESOCUPADO,2,82,3,10,7,2,2,1,2
DESOCUPADO,1,73,1,10,9,1,1,1,2
DESOCUPADO,1,71,1,10,9,1,1,2,2
DESOCUPADO,2,44,8,10,7,2,2,1,2
OCUPADO,1,24,6,10,7,2,2,1,2
DESOCUPADO,2,19,6,10,7,2,2,2,2
DESOCUPADO,1,54,8,10,2,2,2,1,2
DESOCUPADO,2,54,4,10,7,2,2,1,2
DESOCUPADO,2,29,10,10,7,2,2,1,2
OCUPADO,1,41,5,10,7,2,2,1,2
DESOCUPADO,2,42,6,10,7,2,2,1,2
DESOCUPADO,1,19,6,10,7,2,2,1,2
DESOCUPADO,2,16,5,10,7,2,2,1,2
DESOCUPADO,2,55,4,10,8,2,2,1,2
OCUPADO,2,27,11,10,7,2,2,1,2
OCUPADO,1,28,6,10,9,2,2,1,2
DESOCUPADO,1,76,6,10,7,2,2,1,2
DESOCUPADO,2,76,9,10,7,2,2,1,2
OCUPADO,1,48,8,10,7,2,2,1,2
OCUPADO,2,37,6,10,7,2,2,1,2
DESOCUPADO,2,18,6,10,7,2,2,1,2
DESOCUPADO,1,15,5,10,7,2,2,1,2
DESOCUPADO,1,63,5,10,7,2,2,1,2
OCUPADO,1,38,6,1,6,2,2,1,2
OCUPADO,2,37,4,10,7,2,2,1,2
DESOCUPADO,2,14,5,10,7,2,2,1,2
DESOCUPADO,2,46,3,10,9,2,2,1,2
OCUPADO,1,47,5,10,7,2,2,1,2
OCUPADO,1,20,9,10,7,2,2,1,2
OCUPADO,1,46,8,10,8,2,2,1,2
OCUPADO,2,42,5,10,8,2,2,1,2
OCUPADO,1,26,5,10,7,2,2,1,2
OCUPADO,2,55,6,10,7,2,2,1,2
OCUPADO,2,32,10,10,7,2,2,1,2
OCUPADO,1,32,9,10,7,2,2,1,2
OCUPADO,1,59,6,10,7,2,2,1,2
DESOCUPADO,1,70,6,10,7,2,2,1,2
DESOCUPADO,2,69,6,10,6,2,2,1,2
OCUPADO,1,36,6,10,7,2,2,1,2
OCUPADO,2,59,4,10,7,2,2,1,2
OCUPADO,1,58,5,10,7,2,2,1,2
OCUPADO,2,33,9,10,7,2,2,1,2
OCUPADO,1,26,11,10,7,2,2,1,2
DESOCUPADO,1,14,5,10,7,2,2,1,2
DESOCUPADO,1,82,5,1,1,2,2,1,2
DESOCUPADO,2,80,4,10,7,2,2,1,2
OCUPADO,1,58,9,10,7,2,2,1,2
DESOCUPADO,2,50,8,10,9,2,2,1,2
OCUPADO,2,25,6,10,7,2,2,1,2
DESOCUPADO,2,23,6,10,7,2,2,2,2
DESOCUPADO,1,77,11,10,7,2,2,1,2
DESOCUPADO,2,78,11,10,7,2,2,1,2
OCUPADO,1,48,6,10,7,2,2,1,2
OCUPADO,2,39,6,10,7,2,2,1,2
DESOCUPADO,2,18,6,10,7,2,2,2,2
DESOCUPADO,2,13,5,10,7,2,2,2,2
OCUPADO,2,29,6,10,7,2,2,1,2
OCUPADO,1,33,8,10,7,2,2,1,2
DESOCUPADO,2,49,5,10,7,2,2,1,2
OCUPADO,1,37,11,10,7,2,2,1,2
OCUPADO,2,38,11,10,7,2,2,1,2
OCUPADO,1,58,5,10,7,2,2,1,2
OCUPADO,2,51,5,10,7,2,2,1,2
DESOCUPADO,2,13,5,10,7,2,2,2,2
OCUPADO,1,22,8,10,7,2,2,1,2
DESOCUPADO,2,72,12,10,7,2,2,1,2
DESOCUPADO,1,56,11,10,6,2,2,1,2
OCUPADO,2,53,11,10,7,2,2,2,2
DESOCUPADO,2,71,6,10,6,2,2,1,2
DESOCUPADO,2,51,6,10,6,2,2,1,2
DESOCUPADO,2,22,9,10,7,2,2,2,2
DESOCUPADO,2,19,6,10,7,2,2,1,2
DESOCUPADO,2,85,11,10,8,2,2,1,2
DESOCUPADO,1,74,11,10,7,2,2,1,2
OCUPADO,2,72,11,10,5,2,2,1,2
OCUPADO,1,31,9,10,7,2,2,1,2
OCUPADO,1,41,10,10,7,2,2,2,2
OCUPADO,1,37,6,10,7,2,2,1,2
DESOCUPADO,2,32,6,10,7,2,2,1,2
DESOCUPADO,2,15,5,10,7,2,2,2,2
OCUPADO,2,44,6,10,7,2,2,1,2
OCUPADO,1,45,6,10,7,2,2,1,2
OCUPADO,2,21,8,10,7,2,2,1,2
DESOCUPADO,1,70,12,10,7,2,2,1,2
DESOCUPADO,2,57,11,10,7,2,2,1,2
DESOCUPADO,1,76,9,10,7,2,2,1,2
DESOCUPADO,2,74,6,10,7,2,2,1,2
DESOCUPADO,1,75,11,10,7,2,2,1,2
OCUPADO,2,59,9,10,7,2,2,1,2
OCUPADO,1,52,11,10,7,2,2,1,2
OCUPADO,2,34,6,10,7,2,2,1,2
OCUPADO,1,34,5,10,7,2,2,1,2
OCUPADO,1,16,5,10,7,2,2,2,2
DESOCUPADO,1,70,10,10,7,2,2,1,2
OCUPADO,2,67,11,10,7,2,2,1,2
OCUPADO,1,29,9,10,5,2,2,1,2
DESOCUPADO,2,26,10,10,5,2,2,1,2
OCUPADO,2,34,10,10,6,2,2,1,2
OCUPADO,1,36,11,10,7,2,2,1,2
OCUPADO,2,36,12,10,1,2,2,1,2
OCUPADO,1,55,11,10,7,2,2,1,2
OCUPADO,2,56,11,10,1,2,2,1,2
DESOCUPADO,2,14,5,10,7,2,2,2,2
DESOCUPADO,2,85,6,10,1,2,2,1,2
DESOCUPADO,2,72,10,10,7,2,2,1,2
DESOCUPADO,2,47,6,10,7,2,2,1,2
DESOCUPADO,1,43,6,10,7,2,2,1,2
OCUPADO,2,46,6,10,7,2,2,1,2
OCUPADO,1,46,6,10,7,2,2,1,2
DESOCUPADO,1,15,5,10,7,2,2,1,2
OCUPADO,1,58,5,10,7,2,2,1,2
DESOCUPADO,1,18,6,10,7,2,2,1,2
OCUPADO,1,65,9,10,1,2,2,1,2
DESOCUPADO,2,62,8,10,1,2,2,1,2
OCUPADO,2,35,11,10,1,2,2,1,2
OCUPADO,1,42,6,10,7,2,2,1,2
DESOCUPADO,2,42,6,1,1,2,2,1,2
OCUPADO,1,58,6,1,1,2,2,1,2
OCUPADO,2,48,6,10,7,2,2,1,2
DESOCUPADO,1,25,8,10,7,2,2,1,2
DESOCUPADO,1,13,5,10,7,2,2,2,2
OCUPADO,1,44,5,10,7,2,2,1,2
OCUPADO,2,38,6,10,1,2,2,1,2
OCUPADO,1,22,6,10,7,2,2,1,2
DESOCUPADO,2,13,5,10,7,2,2,2,2
DESOCUPADO,1,63,6,10,7,2,2,1,2
OCUPADO,2,30,11,10,1,2,2,1,2
DESOCUPADO,1,18,6,10,7,2,2,2,2
DESOCUPADO,2,75,6,1,1,2,2,1,2
OCUPADO,1,40,11,10,7,2,2,1,2
DESOCUPADO,1,19,10,10,7,2,2,1,2
OCUPADO,1,63,6,10,7,2,2,1,2
OCUPADO,2,39,11,10,7,2,2,1,2
OCUPADO,2,40,6,10,7,2,2,1,2
DESOCUPADO,2,47,6,10,7,2,2,1,2
OCUPADO,2,24,6,10,7,2,2,1,2
DESOCUPADO,1,62,6,10,7,2,2,1,2
OCUPADO,1,26,9,10,7,2,2,1,2
OCUPADO,1,38,6,10,7,2,2,1,2
OCUPADO,2,39,6,10,7,2,2,1,2
DESOCUPADO,1,15,5,10,7,2,2,2,2
OCUPADO,1,31,9,10,6,2,2,1,2
DESOCUPADO,2,51,5,10,6,2,2,1,2
DESOCUPADO,1,57,6,10,9,2,2,1,2
OCUPADO,1,57,6,10,7,2,2,1,2
DESOCUPADO,2,30,11,10,7,2,2,1,2
OCUPADO,1,33,9,10,7,2,2,2,2
DESOCUPADO,2,58,6,10,7,2,2,1,2
DESOCUPADO,1,73,6,10,7,2,2,1,2
DESOCUPADO,2,71,6,10,7,2,2,1,2
DESOCUPADO,2,65,6,10,6,2,2,1,2
OCUPADO,1,42,8,10,6,2,2,1,2
OCUPADO,1,42,6,10,7,2,2,1,2
DESOCUPADO,1,14,5,10,7,2,2,2,2
DESOCUPADO,1,13,5,10,7,2,2,2,2
OCUPADO,1,29,10,10,7,2,2,2,2
OCUPADO,2,31,10,10,7,2,2,2,2
OCUPADO,2,65,9,10,7,2,2,1,2
OCUPADO,1,35,6,10,7,2,2,1,2
OCUPADO,2,42,6,10,7,2,2,1,2
OCUPADO,1,31,11,10,7,2,2,1,2
OCUPADO,2,22,6,10,7,2,2,1,2
DESOCUPADO,2,70,11,10,7,2,2,1,2
OCUPADO,2,33,11,10,7,2,2,1,2
OCUPADO,1,35,6,10,7,2,2,1,2
DESOCUPADO,1,74,4,1,7,2,2,1,2
DESOCUPADO,2,70,5,1,7,2,2,1,2
OCUPADO,1,61,6,2,2,2,2,1,2
OCUPADO,1,36,4,1,7,2,2,1,2
DESOCUPADO,2,31,8,10,5,2,2,1,2
DESOCUPADO,2,73,3,10,7,2,2,1,2
OCUPADO,2,18,6,10,7,2,2,1,2
OCUPADO,1,45,6,1,1,2,2,1,2
DESOCUPADO,2,44,6,1,1,2,2,1,2
OCUPADO,2,20,10,10,1,2,2,1,2
DESOCUPADO,1,19,8,10,1,2,2,1,2
OCUPADO,1,57,10,10,7,2,2,1,2
OCUPADO,2,58,11,10,5,2,2,1,2
OCUPADO,1,27,8,10,4,2,2,1,2
OCUPADO,1,67,11,10,5,2,2,1,2
DESOCUPADO,2,67,10,10,6,2,2,1,2
OCUPADO,1,33,9,10,7,2,2,2,2
OCUPADO,2,32,11,10,1,2,2,1,2
OCUPADO,1,40,6,10,7,2,2,1,2
DESOCUPADO,2,18,6,10,5,2,2,1,2
OCUPADO,2,36,11,10,6,2,2,1,2
OCUPADO,1,19,10,10,6,2,2,1,2
OCUPADO,1,32,6,10,7,2,2,1,2
OCUPADO,2,43,6,10,7,2,2,1,2
OCUPADO,2,21,10,10,7,2,2,2,2
DESOCUPADO,1,75,6,1,1,2,2,1,2
OCUPADO,1,18,6,10,6,2,2,2,2
DESOCUPADO,2,19,10,10,7,2,2,1,2
OCUPADO,2,32,10,10,7,2,2,1,2
OCUPADO,2,52,8,10,7,2,2,1,2
OCUPADO,2,26,11,10,7,2,2,1,2
DESOCUPADO,1,14,5,10,7,2,2,2,2
OCUPADO,2,52,6,10,7,2,2,1,2
OCUPADO,1,52,6,10,7,2,2,1,2
OCUPADO,2,45,4,10,7,2,2,1,2
DESOCUPADO,1,23,6,10,7,2,2,1,2
OCUPADO,2,29,11,10,7,2,2,1,2
OCUPADO,1,47,5,10,7,2,2,1,2
DESOCUPADO,2,18,6,10,1,2,2,1,2
DESOCUPADO,1,15,5,10,7,2,2,2,2
OCUPADO,1,19,5,10,7,2,2,1,2
DESOCUPADO,2,23,6,10,6,2,2,1,2
OCUPADO,1,38,6,10,9,2,2,1,2
OCUPADO,2,35,6,10,7,2,2,1,2
OCUPADO,2,56,5,10,7,2,2,1,2
OCUPADO,2,32,6,10,7,2,2,1,2
OCUPADO,1,36,6,10,7,2,2,1,2
OCUPADO,1,57,4,10,7,2,2,1,2
OCUPADO,2,21,9,10,7,2,2,1,2
OCUPADO,1,41,6,10,7,2,2,1,2
DESOCUPADO,2,40,6,10,7,2,2,1,2
DESOCUPADO,1,13,5,10,7,2,2,2,2
OCUPADO,1,56,4,10,7,2,2,1,2
DESOCUPADO,2,30,6,10,7,2,2,1,2
DESOCUPADO,1,18,6,10,7,2,2,1,2
OCUPADO,1,59,9,10,7,2,2,1,2
OCUPADO,2,48,6,10,7,2,2,1,2
OCUPADO,1,29,6,10,7,2,2,1,2
OCUPADO,2,27,8,10,7,2,2,1,2
DESOCUPADO,1,25,6,10,7,2,2,1,2
DESOCUPADO,1,61,6,10,7,2,2,1,2
OCUPADO,2,57,4,10,7,2,2,1,2
OCUPADO,2,34,9,10,7,2,2,1,2
DESOCUPADO,2,30,6,10,7,2,2,1,2
DESOCUPADO,1,24,6,10,7,2,2,1,2
DESOCUPADO,1,20,6,10,7,2,2,1,2
DESOCUPADO,1,49,6,10,7,2,2,1,2
DESOCUPADO,2,47,9,10,7,2,2,1,2
DESOCUPADO,1,19,6,10,7,2,2,1,2
DESOCUPADO,1,13,5,10,7,2,2,2,2
DESOCUPADO,2,44,6,10,7,2,2,1,2
OCUPADO,2,19,6,10,7,2,2,1,2
DESOCUPADO,1,14,5,10,5,2,2,1,2
DESOCUPADO,2,73,4,10,9,2,2,2,2
DESOCUPADO,2,48,6,10,7,2,2,1,2
OCUPADO,2,44,9,10,7,2,2,1,2
OCUPADO,2,25,6,10,7,2,2,1,2
OCUPADO,2,22,8,10,5,2,2,1,2
DESOCUPADO,2,21,8,10,7,2,2,1,2
OCUPADO,2,52,6,10,7,2,2,1,2
OCUPADO,1,15,5,10,7,2,2,2,2
DESOCUPADO,2,80,1,10,7,1,2,1,2
OCUPADO,1,67,9,10,9,2,2,1,2
OCUPADO,2,48,5,10,6,2,2,1,2
DESOCUPADO,1,21,10,10,7,2,2,1,2
DESOCUPADO,1,19,6,10,6,2,2,1,2
OCUPADO,1,23,6,10,9,2,2,1,2
DESOCUPADO,2,29,6,10,9,2,2,1,2
DESOCUPADO,1,20,6,10,7,2,2,1,2
DESOCUPADO,2,18,6,10,7,2,2,1,2
OCUPADO,2,75,4,10,7,2,2,1,2
OCUPADO,2,44,6,10,9,2,2,2,2
OCUPADO,2,42,6,10,9,2,2,2,2
DESOCUPADO,1,71,6,10,7,2,2,1,2
DESOCUPADO,2,68,6,10,7,2,2,2,2
DESOCUPADO,2,42,6,10,7,2,2,1,2
DESOCUPADO,1,70,4,10,7,2,2,1,2
DESOCUPADO,2,71,6,10,7,2,2,1,2
DESOCUPADO,1,44,6,10,7,2,2,1,2
DESOCUPADO,1,29,6,10,7,2,2,1,2
DESOCUPADO,1,50,6,10,7,2,2,1,2
DESOCUPADO,2,78,3,1,1,2,2,2,2
OCUPADO,2,59,5,10,1,2,2,1,2
DESOCUPADO,1,62,6,10,1,2,2,1,2
OCUPADO,2,19,6,10,9,2,2,1,2
DESOCUPADO,2,61,6,10,6,2,2,1,2
DESOCUPADO,1,31,6,10,7,2,2,1,2
DESOCUPADO,2,26,6,10,7,2,2,1,2
DESOCUPADO,2,89,11,10,6,1,2,1,1
OCUPADO,2,39,6,10,7,2,2,1,2
DESOCUPADO,2,19,8,10,7,2,2,1,2
DESOCUPADO,2,15,5,10,7,2,2,2,2
DESOCUPADO,2,13,5,10,7,2,2,2,2
OCUPADO,2,62,6,10,7,2,2,1,2
OCUPADO,2,49,9,10,7,2,2,1,2
DESOCUPADO,1,52,6,10,7,2,2,1,2
DESOCUPADO,2,18,6,10,7,2,2,1,2
DESOCUPADO,2,65,9,10,7,2,2,1,2
DESOCUPADO,1,70,6,10,7,2,2,1,2
DESOCUPADO,2,51,4,10,9,2,2,1,2
OCUPADO,1,53,6,10,7,2,2,1,2
OCUPADO,1,21,8,10,7,2,2,2,2
DESOCUPADO,2,15,5,10,7,2,2,2,2
OCUPADO,2,45,6,10,7,2,2,1,2
DESOCUPADO,2,80,11,10,5,2,2,1,2
DESOCUPADO,1,64,11,10,7,2,2,1,2
DESOCUPADO,2,58,6,10,7,2,2,1,2
DESOCUPADO,1,53,6,10,7,2,2,1,2
DESOCUPADO,2,51,11,10,7,2,2,1,2
DESOCUPADO,1,21,6,10,7,2,2,1,2
DESOCUPADO,2,19,6,10,7,2,2,1,2
DESOCUPADO,1,80,6,10,7,2,2,1,2
DESOCUPADO,2,81,12,10,7,2,2,1,2
DESOCUPADO,1,49,6,10,7,2,2,1,2
DESOCUPADO,2,60,6,10,7,2,2,1,2
DESOCUPADO,2,36,6,10,7,2,2,1,2
OCUPADO,1,33,11,10,7,2,2,1,2
DESOCUPADO,1,31,6,10,7,2,2,1,2
DESOCUPADO,2,20,6,10,7,2,2,1,2
OCUPADO,2,68,6,10,7,2,2,1,2
OCUPADO,1,34,10,10,7,2,2,1,2
OCUPADO,2,40,9,10,7,2,2,1,2
OCUPADO,1,43,11,10,7,2,2,1,2
DESOCUPADO,2,42,6,10,7,2,2,1,2
OCUPADO,2,16,6,10,7,2,2,1,2
DESOCUPADO,2,80,8,10,7,2,2,1,1
DESOCUPADO,2,62,6,10,7,2,2,1,2
DESOCUPADO,2,35,6,10,7,2,2,1,2
DESOCUPADO,2,30,11,10,7,2,2,1,2
DESOCUPADO,1,24,6,10,7,2,2,1,2
DESOCUPADO,1,46,6,10,7,2,2,1,2
OCUPADO,2,43,11,10,7,2,2,1,2
DESOCUPADO,2,70,6,10,7,2,2,2,2
OCUPADO,2,44,9,10,7,2,2,1,2
DESOCUPADO,1,55,6,10,7,2,2,1,2
DESOCUPADO,1,17,5,10,7,2,2,2,2
DESOCUPADO,2,77,6,10,7,2,2,1,2
DESOCUPADO,1,22,10,10,7,2,2,1,2
DESOCUPADO,1,52,6,10,7,2,2,1,2
OCUPADO,2,54,8,10,7,2,2,1,2
DESOCUPADO,2,14,5,10,7,2,2,2,2
OCUPADO,2,38,8,10,7,2,2,1,2
DESOCUPADO,1,14,5,10,7,2,2,2,2
DESOCUPADO,1,51,6,10,7,2,2,1,2
OCUPADO,2,51,6,10,6,2,2,1,2
